127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.002255
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000227
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000232
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000646
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000629
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002832
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000353
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001352
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000142
127.0.0.1, 2013-07-31 18:22:07, GET, /admin/default/design/easyflow, HTTP/1.1, 200, 0.058211
127.0.0.1, 2013-07-31 18:22:07, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000377
127.0.0.1, 2013-07-31 18:22:07, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000772
127.0.0.1, 2013-07-31 18:22:07, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.001131
127.0.0.1, 2013-07-31 18:22:07, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000608
127.0.0.1, 2013-07-31 18:22:18, GET, /easyflow/default/index, HTTP/1.1, 200, 0.258685
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/default/index, HTTP/1.1, 303, 0.005421
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/default/site, HTTP/1.1, 200, 0.028375
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000452
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000628
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000569
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000585
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000152
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001427
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000484
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000210
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000148
127.0.0.1, 2013-07-31 18:25:00, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000141
127.0.0.1, 2013-07-31 18:25:01, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.000965
127.0.0.1, 2013-07-31 18:25:01, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.000456
127.0.0.1, 2013-07-31 18:25:01, GET, /admin/static/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000142
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/default/index, HTTP/1.1, 200, 0.267817
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000489
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/jquery.js, HTTP/1.1, 304, 0.000148
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/css/calendar.css, HTTP/1.1, 304, 0.000353
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000347
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000374
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/css/web2py.css, HTTP/1.1, 304, 0.001332
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/calendar.js, HTTP/1.1, 304, 0.002039
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001919
